,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.1,11.7,46,74.0,67.1
0,6.4,11.3,41,58.0,75.0
1,6.5,12.5,41,72.0,40.0
2,7.0,13.8,19,89.0,40.0
3,7.1,14.3,25,55.0,75.0
4,7.2,12.7,47,67.0,75.0
5,7.2,12.9,24,55.0,85.0
6,7.3,15.1,18,31.0,40.0
1,7.5,10.7,18,55.0,85.0
2,7.6,11.7,23,55.0,75.0
7,7.7,13.4,23,71.0,40.0
3,7.7,14.0,35,73.0,62.0
0,7.8,11.7,16,42.0,40.0
1,7.9,11.0,17,95.0,35.8
2,7.9,11.100000000000001,48,89.0,67.1
8,7.9,13.7,17,93.0,75.0
9,8.0,13.7,32,53.0,35.8
4,8.3,11.700000000000001,24,78.0,75.0
3,8.3,11.8,32,73.0,75.0
10,8.3,14.100000000000001,27,98.0,75.0
0,8.3,17.8,42,89.0,85.0
11,8.5,14.3,31,99.0,67.1
1,8.6,20.2,42,69.0,75.0
4,8.7,13.899999999999999,47,58.0,67.1
2,8.7,17.4,31,62.0,67.1
5,8.8,11.5,34,77.0,55.0
5,8.8,12.5,45,55.0,55.0
6,8.9,12.3,35,96.0,75.0
3,8.9,17.4,19,89.0,35.8
4,8.9,19.6,17,96.0,55.0
6,9.0,13.0,29,68.0,55.0
5,9.0,19.6,23,33.0,35.8
7,9.4,13.100000000000001,43,94.0,44.5
6,9.6,18.0,36,85.0,85.0
0,10.4,14.4,36,53.0,40.0
0,10.4,15.600000000000001,46,67.0,44.5
0,10.5,16.0,27,86.0,44.5
8,10.6,14.0,40,86.0,35.8
1,10.6,16.1,33,44.0,55.0
2,10.7,16.799999999999997,24,95.0,62.0
3,10.8,16.3,34,54.0,75.0
9,10.9,14.4,44,97.0,55.0
1,10.9,14.7,43,69.0,75.0
2,11.0,15.5,25,47.0,85.0
0,11.2,13.7,38,72.0,55.0
3,11.2,14.7,22,53.0,55.0
4,11.2,17.4,38,75.0,44.5
1,11.4,14.9,33,77.0,55.0
1,11.6,16.4,23,82.0,55.0
2,11.7,14.2,33,68.0,67.1
4,11.7,14.799999999999999,16,33.0,44.5
5,11.8,16.4,38,93.0,67.1
2,12.4,15.600000000000001,48,79.0,85.0
0,12.8,19.8,34,96.0,75.0
1,12.9,15.3,43,70.0,35.8
2,13.0,16.0,31,50.0,55.0
3,13.3,16.1,49,89.0,75.0
0,13.3,16.8,35,60.0,35.8
1,13.4,16.8,24,98.0,44.5
4,13.5,16.6,21,83.0,35.8
5,13.6,16.0,15,34.0,75.0
2,13.6,18.3,15,66.0,67.1
6,13.7,16.0,15,38.0,44.5
7,13.8,17.5,43,59.0,35.8
3,13.8,17.9,22,98.0,85.0
8,14.0,16.0,35,69.0,67.1
9,14.1,16.1,32,81.0,35.8
10,14.1,16.7,21,63.0,75.0
11,14.1,17.6,22,62.0,85.0
0,14.2,16.8,47,74.0,75.0
12,14.2,17.2,39,66.0,44.5
13,14.5,16.7,46,58.0,67.1
1,14.5,16.9,15,28.0,75.0
5,14.5,17.6,38,58.0,62.0
4,14.5,17.9,41,53.0,75.0
2,14.7,15.7,26,52.0,44.5
0,15.5,19.9,48,63.0,67.1
3,15.7,18.0,20,52.0,35.8
14,15.7,19.5,47,65.0,62.0
15,15.8,17.900000000000002,41,66.0,75.0
16,15.8,18.2,40,53.0,62.0
1,15.9,19.5,43,86.0,75.0
4,16.0,18.9,29,58.0,75.0
2,16.4,21.7,17,29.0,62.0
18,16.5,19.2,21,50.0,85.0
17,16.5,20.6,30,84.0,75.0
3,17.0,20.1,24,37.0,67.1
4,17.3,21.8,15,90.0,85.0
5,17.5,20.7,30,46.0,44.5
19,17.6,20.200000000000003,16,71.0,67.1
20,17.8,20.2,19,54.0,55.0
21,17.9,20.9,31,58.0,35.8
6,18.1,23.200000000000003,42,58.0,67.1
7,18.4,21.599999999999998,15,79.0,44.5
8,18.5,21.6,27,44.0,75.0
9,18.9,23.7,21,36.0,62.0
